StudentId,StageName,GradeName,ClassName,AcademicYear,NationalId,PassportNumber,CommunicationLang,FirstName,MiddleName,GrandName,NickName,NameInArabic,Gender,BirthDate,BirthPlace,Address,CountryCode,PhoneNumber,Nationality,Religion,Email,Password,FatherId,FatherContactPhone,ISFatherResponsible,FatherFirstName,FatherMiddleName,FatherGrandName,FatherNickName,FatherNameInArabic,FatherGender,FatherBirthDate,FatherBirthPlace,FatherAddress,FatherCountryCode,FatherPhoneNumber,FatherNationality,FatherReligion,FatherPassword,FatherEmail,MotherId,MotherContactPhone,ISMotherResponsible,MotherFirstName,MotherMiddleName,MotherGrandName,MotherNickName,MotherNameInArabic,MotherGender,MotherBirthDate,MotherBirthPlace,MotherAddress,MotherCountryCode,MotherPhoneNumber,MotherNationality,MotherReligion,MotherEmail,MotherPassword
3599,الأبتدائية,الأولى,ب,2025-2026,2358574091,P2488643886,en,Salman,Abdulaziz,Salman,Salman,سلمان عبدالعزيز سلمان,Male,12/09/2014 14:27:30,Medina,Street 3,+966,5553567769,Saudi,Christian,salman.salman445@example.com,dHIO$IseY4,2213578708,5205485325,True,Abdulaziz,Tariq,Salman,Abdulaziz,عبدالعزيز طارق سلمان,Male,12/09/1986 14:27:30,Mecca,Street 1,+966,5205485325,Saudi,Christian,8&xV*o32zo,abdulaziz.salman556@example.com,1557135260,5721643244,False,Khadijah,Akram,Ahmed,Khadijah,خديجة أكرم أحمد,Female,12/09/1989 14:27:30,Riyadh,Street 1,+966,5721643244,Saudi,Christian,khadijah.ahmed800@example.com,6S1$Dz$wt#
1134,الأبتدائية,الأولى,ب,2025-2026,2849946486,P1590962726,ar,Aaliyah,Idris,Hussein,Aaliyah,عالية إدريس حسين,Female,12/09/2014 14:27:30,Dammam,Street 4,+966,5760387822,Saudi,Muslim,aaliyah.hussein644@example.com,C$Za!zEH&4,1100178225,5310210523,False,Idris,Ibrahim,Hussein,Idris,إدريس إبراهيم حسين,Male,12/09/1990 14:27:30,Jeddah,Street 5,+966,5310210523,Saudi,Muslim,9(OUp#pumM,idris.hussein449@example.com,2241763063,5672101983,True,Khadijah,Nasser,Akram,Khadijah,خديجة ناصر أكرم,Female,12/09/1988 14:27:30,Dammam,Street 3,+966,5672101983,Saudi,Muslim,khadijah.akram369@example.com,Z#73XwUyr@
5321,الأبتدائية,الأولى,ب,2025-2026,1719385930,P2305486465,en,Tariq,Idris,Hussein,Tariq,طارق إدريس حسين,Male,12/09/2019 14:27:30,Mecca,Street 1,+966,5395317824,Saudi,Muslim,tariq.hussein285@example.com,qNS8&d%Jx8,1100178225,5310210523,False,Idris,Ibrahim,Hussein,Idris,إدريس إبراهيم حسين,Male,12/09/1990 14:27:30,Jeddah,Street 5,+966,5310210523,Saudi,Muslim,9(OUp#pumM,idris.hussein449@example.com,2241763063,5672101983,True,Khadijah,Nasser,Akram,Khadijah,خديجة ناصر أكرم,Female,12/09/1988 14:27:30,Dammam,Street 3,+966,5672101983,Saudi,Muslim,khadijah.akram369@example.com,Z#73XwUyr@
7502,الأبتدائية,الأولى,ب,2025-2026,2600866853,P2758051916,en,Zayne,Ahmed,Hamza,Zayne,زين أحمد حمزة,Male,12/09/2019 14:27:30,Mecca,Street 2,+966,5996259357,Saudi,Christian,zayne.hamza326@example.com,ArADan@9vX,2357383837,5266648272,True,Ahmed,Hamza,Hamza,Ahmed,أحمد حمزة حمزة,Male,12/09/1979 14:27:30,Riyadh,Street 1,+966,5266648272,Saudi,Christian,986Sv(u)bT,ahmed.hamza813@example.com,1729583713,5370789119,False,Ruqaya,Zaid,Omar,Ruqaya,رقية زيد عمر,Female,12/09/1981 14:27:30,Riyadh,Street 3,+966,5370789119,Saudi,Christian,ruqaya.omar926@example.com,7g$Ty9eRQd
8108,الأبتدائية,الأولى,ب,2025-2026,1546633611,P1740349170,en,Ali,Abdulrahman,Salman,Ali,علي عبدالرحمن سلمان,Male,12/09/2019 14:27:30,Jeddah,Street 1,+966,5904049594,Saudi,Christian,ali.salman482@example.com,9g*!VMSw(s,1812784354,5230945430,False,Abdulrahman,Ibrahim,Salman,Abdulrahman,عبدالرحمن إبراهيم سلمان,Male,12/09/1980 14:27:30,Medina,Street 5,+966,5230945430,Saudi,Christian,#eQ0fd8UFj,abdulrahman.salman320@example.com,1907523738,5244841324,True,Nadia,Tariq,Khalid,Nadia,نادية طارق خالد,Female,12/09/1991 14:27:30,Riyadh,Street 4,+966,5244841324,Saudi,Christian,nadia.khalid920@example.com,1CGB#XNi3A
7566,الأبتدائية,الأولى,ب,2025-2026,2413487061,P2336800428,en,Nasser,Salman,Ismail,Nasser,ناصر سلمان إسماعيل,Male,12/09/2014 14:27:30,Dammam,Street 5,+966,5223216161,Saudi,Muslim,nasser.ismail265@example.com,K0zElkVkf&,1182435617,5616527129,False,Salman,Yousef,Ismail,Salman,سلمان يوسف إسماعيل,Male,12/09/1994 14:27:30,Medina,Street 4,+966,5616527129,Saudi,Muslim,55kK7B$NWi,salman.ismail814@example.com,1216142628,5289660640,True,Zahra,Abdulaziz,Akram,Zahra,زهرة عبدالعزيز أكرم,Female,12/09/1983 14:27:30,Dammam,Street 3,+966,5289660640,Saudi,Muslim,zahra.akram867@example.com,xyAH66W5@4
4442,الأبتدائية,الأولى,ب,2025-2026,1127081521,P2855444546,ar,Ruqaya,Ali,Zaid,Ruqaya,رقية علي زيد,Female,12/09/2014 14:27:30,Dammam,Street 1,+966,5275501751,Saudi,Christian,ruqaya.zaid573@example.com,3zJLe&SQCA,1901638723,5624196886,True,Ali,Hamza,Zaid,Ali,علي حمزة زيد,Male,12/09/1986 14:27:30,Mecca,Street 4,+966,5624196886,Saudi,Christian,vTlwz9Ov7@,ali.zaid220@example.com,2970202462,5445550220,False,Aaliyah,Ahmed,Hussein,Aaliyah,عالية أحمد حسين,Female,12/09/1989 14:27:30,Dammam,Street 5,+966,5445550220,Saudi,Christian,aaliyah.hussein400@example.com,$CRU!4N3o2
2781,الأبتدائية,الأولى,ب,2025-2026,2346578882,P2706848824,en,Hanan,Ali,Abdulaziz,Hanan,حنان علي عبدالعزيز,Female,12/09/2019 14:27:30,Riyadh,Street 5,+966,5256797197,Saudi,Muslim,hanan.abdulaziz494@example.com,GC6Uanb6!e,2121581944,5791642213,False,Ali,Salem,Abdulaziz,Ali,علي سالم عبدالعزيز,Male,12/09/1986 14:27:30,Medina,Street 2,+966,5791642213,Saudi,Muslim,TFE&0zQ8b$,ali.abdulaziz383@example.com,1743579660,5578564797,True,Fatimah,Khalid,Saud,Fatimah,فاطمة خالد سعود,Female,12/09/1989 14:27:30,Dammam,Street 3,+966,5578564797,Saudi,Muslim,fatimah.saud829@example.com,D4B4SMHX%s
9799,الأبتدائية,الأولى,ب,2025-2026,1617831312,P1234494115,en,Abdulaziz,Idris,Zayne,Abdulaziz,عبدالعزيز إدريس زين,Male,12/09/2016 14:27:30,Jeddah,Street 2,+966,5647917891,Saudi,Christian,abdulaziz.zayne225@example.com,T6mX6Dwv*(,2615419066,5195962322,True,Idris,Saud,Zayne,Idris,إدريس سعود زين,Male,12/09/1985 14:27:30,Mecca,Street 2,+966,5195962322,Saudi,Christian,$6H3vL2Wl3,idris.zayne545@example.com,1188312243,5128652651,False,Lina,Abdulaziz,Mohammed,Lina,لينا عبدالعزيز محمد,Female,12/09/1993 14:27:30,Jeddah,Street 4,+966,5128652651,Saudi,Christian,lina.mohammed108@example.com,O!Q5oug9r4
8719,الأبتدائية,الأولى,ب,2025-2026,1633549355,P2671437442,en,Yousef,Mahdi,Ibrahim,Yousef,يوسف مهدي إبراهيم,Male,12/09/2019 14:27:30,Mecca,Street 2,+966,5419413310,Saudi,Muslim,yousef.ibrahim230@example.com,)THj1&!uae,2567017601,5740678509,False,Mahdi,Tariq,Ibrahim,Mahdi,مهدي طارق إبراهيم,Male,12/09/1979 14:27:30,Dammam,Street 4,+966,5740678509,Saudi,Muslim,7)z&rM3KLo,mahdi.ibrahim347@example.com,2766472862,5538842140,True,Safiyyah,Akram,Ali,Safiyyah,صفية أكرم علي,Female,12/09/1981 14:27:30,Riyadh,Street 5,+966,5538842140,Saudi,Muslim,safiyyah.ali949@example.com,2Kypaf7v3&
5729,الأبتدائية,الأولى,ب,2025-2026,2375778783,P2532596213,en,Sedra,Mahdi,Ibrahim,Sedra,سدرة مهدي إبراهيم,Female,12/09/2014 14:27:30,Medina,Street 2,+966,5313833023,Saudi,Muslim,sedra.ibrahim111@example.com,T1yW4&1lsa,2567017601,5740678509,False,Mahdi,Tariq,Ibrahim,Mahdi,مهدي طارق إبراهيم,Male,12/09/1979 14:27:30,Dammam,Street 4,+966,5740678509,Saudi,Muslim,7)z&rM3KLo,mahdi.ibrahim347@example.com,2766472862,5538842140,True,Safiyyah,Akram,Ali,Safiyyah,صفية أكرم علي,Female,12/09/1981 14:27:30,Riyadh,Street 5,+966,5538842140,Saudi,Muslim,safiyyah.ali949@example.com,2Kypaf7v3&
5662,الأبتدائية,الأولى,ب,2025-2026,1870699945,P2405904044,ar,Khadijah,Hussein,Hassan,Khadijah,خديجة حسين حسن,Female,12/09/2014 14:27:30,Mecca,Street 1,+966,5288956763,Saudi,Christian,khadijah.hassan167@example.com,#IX#8Wij%9,2488354056,5358444045,True,Hussein,Saud,Hassan,Hussein,حسين سعود حسن,Male,12/09/1982 14:27:30,Mecca,Street 3,+966,5358444045,Saudi,Christian,5^BbcZC^SN,hussein.hassan510@example.com,1255986693,5128558179,False,Maryam,Idris,Akram,Maryam,مريم إدريس أكرم,Female,12/09/1996 14:27:30,Riyadh,Street 2,+966,5128558179,Saudi,Christian,maryam.akram690@example.com,O50tCU65(c
8914,الأبتدائية,الأولى,ب,2025-2026,2102976826,P2197654411,ar,Zainab,Ibrahim,Ali,Zainab,زينب إبراهيم علي,Female,12/09/2016 14:27:30,Dammam,Street 2,+966,5789767255,Saudi,Muslim,zainab.ali791@example.com,L$Ib$%%y7%,2897900466,5722976892,True,Ibrahim,Salem,Ali,Ibrahim,إبراهيم سالم علي,Male,12/09/1987 14:27:30,Medina,Street 3,+966,5722976892,Saudi,Muslim,)G%VZ*97wu,ibrahim.ali785@example.com,2657170106,5280729323,False,Zahra,Ali,Ali,Zahra,زهرة علي علي,Female,12/09/1988 14:27:30,Medina,Street 1,+966,5280729323,Saudi,Muslim,zahra.ali466@example.com,2GrMB4)qMy
3197,الأبتدائية,الأولى,ب,2025-2026,2138050629,P2574135107,ar,Tamadur,Idris,Yousef,Tamadur,تماضر إدريس يوسف,Female,12/09/2018 14:27:30,Riyadh,Street 4,+966,5641329969,Saudi,Muslim,tamadur.yousef472@example.com,X0SCUrtm3$,1727516454,5168290655,True,Idris,Akram,Yousef,Idris,إدريس أكرم يوسف,Male,12/09/1981 14:27:30,Mecca,Street 4,+966,5168290655,Saudi,Muslim,3%9I!o0*PV,idris.yousef868@example.com,1372836443,5947033016,False,Yasmin,Bilal,Turki,Yasmin,ياسمين بلال تركي,Female,12/09/1990 14:27:30,Medina,Street 1,+966,5947033016,Saudi,Muslim,yasmin.turki970@example.com,jS07g7&N#z
8650,الأبتدائية,الأولى,ب,2025-2026,2340920653,P1794706877,en,Safiyyah,Idris,Yousef,Safiyyah,صفية إدريس يوسف,Female,12/09/2017 14:27:30,Medina,Street 3,+966,5814839211,Saudi,Muslim,safiyyah.yousef672@example.com,rb#J%QEMi4,1727516454,5168290655,True,Idris,Akram,Yousef,Idris,إدريس أكرم يوسف,Male,12/09/1981 14:27:30,Mecca,Street 4,+966,5168290655,Saudi,Muslim,3%9I!o0*PV,idris.yousef868@example.com,1372836443,5947033016,False,Yasmin,Bilal,Turki,Yasmin,ياسمين بلال تركي,Female,12/09/1990 14:27:30,Medina,Street 1,+966,5947033016,Saudi,Muslim,yasmin.turki970@example.com,jS07g7&N#z
